data;idpotreiro;idsubarea;dentrofora;media;mstotal;msanoni;msoutras;tmin;tmed;tmax;umidade;velocidadevento;radiacaosolar;chuva;somatermica;def;exc;geometria;data_imagem;s2_b02;s2_b04;s2_b05;s2_b06;s2_b07;s2_b08;s2_b11;s2_b12;ndvi;evi;ndre;savi;dias_campo_imagem;mes;ano;dias_desde_ult_medicao;est_inverno;est_outono;est_primavera;est_verao
2016-08-09;1;6;0;27.4;3925.3464;3600.1536;325.19266;8.0;12.2;18.2;75.0;2.1;14.1;0.2;6.1;0.07;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987441605,-31.321783881],[-53.984856087,-31.322752724],[-53.984471753,-31.323331461],[-53.984443805,-31.323364664],[-53.984526779,-31.323440552],[-53.98462868,-31.323396358],[-53.984692987,-31.323366346],[-53.984737643,-31.323348779],[-53.984807886,-31.323318957],[-53.984883872,-31.323377753],[-53.985175715,-31.323183014],[-53.985051637,-31.323133616],[-53.984923775,-31.323094976],[-53.984868553,-31.32309142],[-53.984845099,-31.323062714],[-53.984849923,-31.323014697],[-53.984869266,-31.32296235],[-53.984886436,-31.322902634],[-53.985035893,-31.32279866],[-53.985144565,-31.322761897],[-53.985188787,-31.322741249],[-53.985270381,-31.322747288],[-53.985322432,-31.322761903],[-53.985352974,-31.32277723],[-53.985380478,-31.322824729],[-53.985410296,-31.322904548],[-53.985464869,-31.323027703],[-53.986497358,-31.322453872],[-53.987080833,-31.32211906],[-53.987494091,-31.321884375],[-53.987441605,-31.321783881]]]]}";2016-08-14;0.1429453608247422;0.1582876288659793;0.2150416666666666;0.3471833333333333;0.387675;0.3970701030927835;0.3080375;0.2081333333333333;0.4299615553827104;0.468309037582559;0.2973777754635416;0.3393860683385807;5;8;2016;0;True;False;False;False
2016-09-12;1;25;1;30.8;3589.2607;1605.4048;1983.8561;12.9;16.5;21.2;83.4;4.0;5.6;5.8;10.05;0.0;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2016-09-10;0.1315324675324675;0.1479051948051948;0.19602;0.3257;0.36034;0.380987012987013;0.32066;0.21745;0.4406981512448219;0.4545544341807468;0.3205628507519997;0.3398050103061292;2;9;2016;0;False;False;True;False
2016-09-12;1;25;0;24.2;3746.0676;3183.6016;562.46594;12.9;16.5;21.2;83.4;4.0;5.6;5.8;10.05;0.0;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2016-09-10;0.1315324675324675;0.1479051948051948;0.19602;0.3257;0.36034;0.380987012987013;0.32066;0.21745;0.4406981512448219;0.4545544341807468;0.3205628507519997;0.3398050103061292;2;9;2016;0;False;False;True;False
2016-11-23;1;25;0;38.6;7109.8677;6403.8994;705.968;8.9;17.8;26.0;59.3;2.0;33.7;0.2;7.45;2.65;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2016-11-29;0.1456594594594594;0.1693932432432432;0.2271449999999999;0.36769;0.4089;0.4232918918918919;0.36058;0.2424599999999999;0.4283870702962011;0.4711580127832188;0.3015617569313599;0.3485431994330851;6;11;2016;72;False;False;True;False
2016-11-23;1;25;1;45.8;5912.0537;3028.125;2883.9287;8.9;17.8;26.0;59.3;2.0;33.7;0.2;7.45;2.65;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2016-11-29;0.1456594594594594;0.1693932432432432;0.2271449999999999;0.36769;0.4089;0.4232918918918919;0.36058;0.2424599999999999;0.4283870702962011;0.4711580127832188;0.3015617569313599;0.3485431994330851;6;11;2016;0;False;False;True;False
2016-12-29;1;25;0;24.0;4687.8184;4679.133;8.68574;20.1;23.0;27.6;83.4;3.3;12.4;10.8;13.85;0.0;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2016-12-22;0.9123064935064936;0.7786909090909091;0.8328200000000001;0.77363;0.724255;0.8841714285714286;0.57298;0.415575;0.0634331039265731;-0.9220911328483312;0.0299077955293893;0.0731534210317736;7;12;2016;36;False;False;False;True
2017-01-30;1;25;1;52.8;8600.165;8600.165;0.0;21.1;25.6;31.5;74.8;3.7;24.2;0.0;16.3;2.64;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2017-02-07;0.1646864864864864;0.1815648648648648;0.24605;0.45929;0.53459;0.5537783783783784;0.381345;0.257945;0.5061765603119704;0.6608815913483963;0.384743010747238;0.4519555786005422;8;1;2017;32;False;False;False;True
2017-04-18;1;25;0;33.4;7621.0596;7477.2314;143.82837;12.2;16.6;23.0;83.7;4.0;13.2;0.0;7.6;0.21;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2017-04-11;0.1230688311688311;0.1467948051948052;0.190075;0.308505;0.347985;0.3661558441558442;0.270835;0.18494;0.4276455039850926;0.4142300027614025;0.3165607337418887;0.3248347376572493;7;4;2017;78;False;True;False;False
2017-04-18;1;25;1;41.2;12173.006;12130.694;42.311455;12.2;16.6;23.0;83.7;4.0;13.2;0.0;7.6;0.21;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2017-04-11;0.1230688311688311;0.1467948051948052;0.190075;0.308505;0.347985;0.3661558441558442;0.270835;0.18494;0.4276455039850926;0.4142300027614025;0.3165607337418887;0.3248347376572493;7;4;2017;0;False;True;False;False
2017-05-19;1;25;0;24.6;4788.579;4755.659;32.9199;16.1;18.1;21.2;83.6;4.7;8.5;0.4;11.65;0.08;0.0;"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.987343714,-31.324025191],[-53.988493661,-31.323491986],[-53.988101496,-31.32285306],[-53.987519026,-31.323219901],[-53.987295845,-31.323849071],[-53.987343714,-31.324025191]]]]}";2017-05-21;0.1256506493506493;0.1539051948051948;0.19602;0.292725;0.325355;0.3369506493506493;0.27659;0.19242;0.3729108183691881;0.347202549313379;0.2644247849714684;0.2771020461125695;2;5;2017;31;False;True;False;False
