data;idpotreiro;qtd_animais;peso_origem_medio;peso_final_medio;ganho_medio;peso_origem_total;peso_final_total;dias_permanencia_medio
2018-01-15;1;15;267.6;274.26666666666665;6.666666666666667;4014.0;4114.0;35.0
2018-01-15;2;11;387.90909090909093;395.1818181818182;7.2727272727272725;4267.0;4347.0;35.0
2018-01-15;3;20;277.75;289.1;11.35;5555.0;5782.0;35.0
2018-01-15;4;19;358.6842105263158;389.05263157894734;30.36842105263158;6815.0;7392.0;35.0
2018-02-19;1;19;300.89473684210526;293.2105263157895;-7.684210526315789;5717.0;5571.0;34.0
2018-02-19;2;8;399.5;401.0;1.5;3196.0;3208.0;34.0
2018-02-19;3;37;359.27027027027026;367.05405405405406;7.783783783783784;13293.0;13581.0;34.0
2018-02-19;4;16;388.8125;394.5625;5.75;6221.0;6313.0;34.0
2018-03-23;1;30;340.8;345.23333333333335;4.433333333333334;10224.0;10357.0;33.0
2018-03-23;2;11;395.09090909090907;422.90909090909093;27.818181818181817;4346.0;4652.0;33.0
2018-03-23;3;44;358.3863636363636;369.15909090909093;10.772727272727273;15769.0;16243.0;33.0
2018-03-23;4;14;397.7857142857143;408.35714285714283;10.571428571428571;5569.0;5717.0;33.0
2018-04-25;1;33;355.0;338.4848484848485;-16.515151515151516;11715.0;11170.0;71.0
2018-04-25;2;6;432.3333333333333;447.0;14.666666666666666;2594.0;2682.0;71.0
2018-04-25;3;44;369.15909090909093;345.6818181818182;-23.477272727272727;16243.0;15210.0;71.0
2018-04-25;4;14;408.35714285714283;401.64285714285717;-6.714285714285714;5717.0;5623.0;71.0
2018-07-13;1;11;261.3636363636364;262.45454545454544;1.0909090909090908;2875.0;2887.0;49.0
2018-07-13;2;6;447.0;449.1666666666667;2.1666666666666665;2682.0;2695.0;43348.0
2018-07-13;3;11;269.0;262.72727272727275;-6.2727272727272725;2959.0;2890.0;49.0
2018-07-13;4;11;398.0;386.8181818181818;-11.181818181818182;4378.0;4255.0;49.0
2018-08-20;1;11;262.45454545454544;;;2887.0;;
2018-08-20;2;6;449.1666666666667;;;2695.0;;
2018-08-20;3;11;262.72727272727275;;;2890.0;;
2018-08-20;4;11;386.8181818181818;;;4255.0;;
2018-10-04;1;11;280.09090909090907;314.44444444444446;18.88888888888889;3081.0;2830.0;42.0
2018-10-04;2;6;449.1666666666667;495.1666666666667;46.0;2695.0;2971.0;42.0
2018-10-04;3;34;244.13235294117646;256.390625;8.828125;8300.5;8204.5;32.0
2018-10-04;4;16;355.5;361.875;6.375;5688.0;5790.0;42.0
2018-11-05;1;26;259.125;266.46;7.5625;6219.0;6661.5;22.0
2018-11-05;2;17;327.94117647058823;339.0882352941176;11.147058823529411;5575.0;5764.5;22.0
2018-11-05;3;33;260.3484848484849;273.8125;12.203125;8591.5;8762.0;32.0
2018-11-05;4;27;299.18518518518516;313.037037037037;13.851851851851851;8078.0;8452.0;22.0
2018-12-10;1;11;321.1;252.0909090909091;-68.5;3211.0;2773.0;40.0
2018-12-10;2;25;244.18;245.95833333333334;1.8125;6104.5;5903.0;40.0
2018-12-10;3;34;246.26470588235293;248.1875;1.90625;8373.0;7942.0;40.0
2018-12-10;4;28;254.64285714285714;259.0833333333333;4.958333333333333;7130.0;6218.0;40.0
2019-01-14;1;27;247.94444444444446;253.38888888888889;5.444444444444445;6694.5;6841.5;36.0
2019-01-14;2;25;244.18;252.82608695652175;8.152173913043478;6104.5;5815.0;36.0
2019-01-14;3;34;246.26470588235293;247.4848484848485;2.1515151515151514;8373.0;8167.0;36.0
2019-01-14;4;28;318.92857142857144;259.7826086956522;-70.91304347826087;8930.0;5975.0;36.0
2019-02-18;1;28;255.08928571428572;270.4642857142857;15.375;7142.5;7573.0;37.0
2019-02-18;2;24;252.82608695652175;270.1904761904762;25.6;5815.0;5674.0;
2019-02-18;3;37;248.2972972972973;277.6111111111111;30.194444444444443;9187.0;9994.0;37.0
2019-02-18;4;24;259.0833333333333;275.5416666666667;16.458333333333332;6218.0;6613.0;37.0
2019-04-10;1;48;274.625;267.97872340425533;-7.25531914893617;13182.0;12595.0;55.0
2019-04-10;2;11;;274.54545454545456;;;3020.0;
2019-04-10;3;74;274.0;371.3243243243243;3.6363636363636362;6028.0;27478.0;55.0
2019-04-10;4;19;276.05263157894734;291.05263157894734;15.0;5245.0;5530.0;55.0
2019-07-08;1;39;267.0769230769231;;;10416.0;;
2019-07-08;2;48;263.5416666666667;;;12650.0;;35.0
2019-07-08;3;51;275.3137254901961;258.625;-13.0;14041.0;6207.0;119.0
2019-07-08;4;26;278.88;;;6972.0;;35.0
2019-08-13;1;24;274.2083333333333;;;6581.0;;
2019-08-13;2;12;310.0;;;3720.0;;
2019-08-13;3;30;269.3666666666667;;;8081.0;;
2019-08-13;4;14;298.89285714285717;;;4184.5;;
